net,length_um
net1413,535.69µm
net655,534.72µm
m.u_conv3.u_weights._12942_,534.38µm
net872,533.86µm
m.embedding\[60\],533.51µm
net777,533.485µm
m.u_conv2._1565_,532.7µm
net1190,532.69µm
m.u_conv3.u_weights._06885_,532.48µm
net559,531.965µm
net1094,531.9µm
net1064,531.73µm
m.embedding\[24\],531.7µm
net1379,531.335µm
net1167,530.67µm
net1429,530.6µm
net1151,530.515µm
net1277,529.9µm
net1449,529.465µm
m.u_conv3.input_buf\[62\],529.425µm
net637,529.38µm
net1412,528.995µm
net726,528.85µm
net914,528.72µm
net1131,528.46µm
m.u_conv3.u_weights._09098_,528.18µm
net800,527.445µm
m.u_conv3.input_buf\[57\],527.075µm
net1506,526.025µm
net342,524.405µm
net482,524.405µm
net884,524.035µm
net1049,523.955µm
net1124,523.23µm
m.u_conv3.u_weights._00823_,523.035µm
net570,522.3µm
net1207,522.02µm
net1267,521.91µm
net1252,521.525µm
net1024,520.895µm
net490,520.595µm
m.u_conv3.u_weights._03511_,520.03µm
net1225,519.8µm
net1490,517.545µm
m.u_conv3.u_weights._07710_,517.385µm
net1544,516.955µm
net961,516.86µm
net842,516.595µm
net492,516.285µm
net1090,516.02µm
m.u_conv3.u_weights._10815_,514.48µm
m.u_conv3.u_weights._03495_,514.1µm
net458,513.505µm
net991,513.36µm
net723,513.205µm
net1161,513.025µm
net1063,512.445µm
net747,512.41µm
net640,511.335µm
net949,511.185µm
net1231,510.96µm
net1548,510.495µm
net987,510.34µm
m.u_conv3.input_buf\[3\],510.24µm
net1009,509.975µm
net662,509.875µm
m.u_conv3.u_weights._07662_,509.6µm
m.u_conv3.u_weights._00827_,509.355µm
net1095,509.115µm
net1402,508.89µm
m.u_conv3.u_weights._07706_,508.885µm
net1067,508.615µm
net529,508.135µm
net1184,507.41µm
net445,507.36µm
m.u_conv3.u_weights._10271_,507.225µm
net1130,506.675µm
net625,506.25µm
m.u_conv3.u_weights._07106_,506.23µm
net590,505.875µm
net1550,505.425µm
net1383,505.315µm
net1128,504.45µm
net845,503.28µm
net516,503.18µm
net606,502.52µm
net1395,502.35µm
net1416,502.135µm
net1464,501.635µm
net201,500.945µm
net1156,500.89µm
net467,500.465µm
net1328,499.575µm
net489,499.475µm
net859,499.295µm
m.embedding\[46\],497.35µm
m.u_conv3.u_weights._08871_,497.315µm
net869,495.92µm
m.u_conv3.u_weights._15659_,495.78µm
net1036,495.14µm
m.u_conv3.u_weights._14765_,494.605µm
m.u_conv3.u_weights._08063_,494.005µm
m.u_conv3.u_weights._10826_,493.97µm
net1220,493.535µm
net497,493.32µm
net1388,493.145µm
m.u_conv3.u_weights._09056_,493.015µm
net844,492.995µm
net576,492.635µm
net1087,492.255µm
net1322,492.195µm
net952,492.115µm
