net,length_um
m.u_conv3.u_weights._07210_,10.5µm
m.u_conv3.u_weights._07742_,10.5µm
m.u_conv3.u_weights._08551_,10.5µm
m.u_conv2.acc\[8\]\[4\],10.495µm
m.u_conv3.u_weights._02176_,10.495µm
m.u_conv3.u_weights._03690_,10.495µm
m.u_conv3.u_weights._04766_,10.495µm
m.u_conv3.u_weights._06044_,10.495µm
m.u_conv3.u_weights._13242_,10.495µm
m.u_conv3.u_weights._14214_,10.495µm
m.u_conv3.u_weights._14745_,10.495µm
m.u_conv3.u_weights._15598_,10.495µm
m.u_pool1._086_,10.495µm
m.u_conv3.u_weights._05350_,10.49µm
m.u_conv3.u_weights._15425_,10.49µm
m.u_conv2._0105_,10.485µm
net2201,10.485µm
m.u_conv2.acc\[11\]\[5\],10.485µm
m.u_conv3.u_weights._02006_,10.485µm
m.u_conv3.u_weights._08618_,10.485µm
m.u_conv3.u_weights._11890_,10.48µm
m.u_conv1._134_,10.475µm
m.u_conv3.u_weights._08739_,10.475µm
m.u_conv3.u_weights._10974_,10.475µm
m.u_conv3.u_weights._13607_,10.475µm
m.u_conv1.u_weights._076_,10.47µm
m.u_conv3.u_weights._01060_,10.47µm
m.u_conv3.u_weights._14259_,10.47µm
m.u_conv3.u_weights._01803_,10.465µm
m.u_conv3.u_weights._07004_,10.465µm
m.u_conv3.u_weights._13783_,10.465µm
m.u_tree._0923_,10.465µm
m.u_conv3.u_weights._02912_,10.46µm
m.u_conv3.u_weights._02974_,10.46µm
m.u_conv3.u_weights._03126_,10.46µm
m.u_conv3.u_weights._06529_,10.46µm
m.u_conv3.u_weights._07203_,10.46µm
m.u_conv3.u_weights._08976_,10.46µm
m.u_conv3.u_weights._10902_,10.46µm
m.u_conv3.u_weights._10983_,10.46µm
m.u_conv3.u_weights._11985_,10.46µm
m.u_conv3.u_weights._12783_,10.46µm
m.u_conv3.u_weights._13910_,10.46µm
m.u_tree._0304_,10.46µm
m.u_tree._0752_,10.46µm
m.u_tree._1527_,10.46µm
m.u_conv1._072_,10.45µm
m.u_conv1.u_loader._224_,10.45µm
m.u_conv2._0645_,10.45µm
m.u_conv2._1074_,10.45µm
m.u_conv2.acc\[24\]\[6\],10.45µm
m.u_conv2.acc\[49\]\[2\],10.45µm
m.u_conv2.u_weights._256_,10.45µm
m.u_conv2.u_weights._382_,10.45µm
m.u_conv3.u_weights._00411_,10.45µm
m.u_conv3.u_weights._00806_,10.45µm
m.u_conv3.u_weights._00855_,10.45µm
m.u_conv3.u_weights._01430_,10.45µm
m.u_conv3.u_weights._02114_,10.45µm
m.u_conv3.u_weights._02525_,10.45µm
m.u_conv3.u_weights._03489_,10.45µm
m.u_conv3.u_weights._04002_,10.45µm
m.u_conv3.u_weights._04796_,10.45µm
m.u_conv3.u_weights._05278_,10.45µm
m.u_conv3.u_weights._05770_,10.45µm
m.u_conv3.u_weights._05818_,10.45µm
m.u_conv3.u_weights._06426_,10.45µm
m.u_conv3.u_weights._06704_,10.45µm
m.u_conv3.u_weights._07312_,10.45µm
m.u_conv3.u_weights._08517_,10.45µm
m.u_conv3.u_weights._08549_,10.45µm
m.u_conv3.u_weights._09138_,10.45µm
m.u_conv3.u_weights._09524_,10.45µm
m.u_conv3.u_weights._10002_,10.45µm
m.u_conv3.u_weights._11796_,10.45µm
m.u_conv3.u_weights._11900_,10.45µm
m.u_conv3.u_weights._14637_,10.45µm
m.u_conv3.u_weights._15251_,10.45µm
m.u_pool2._014_,10.45µm
m.u_tree._0421_,10.45µm
m.u_tree._0659_,10.45µm
net2753,10.45µm
net2866,10.45µm
m.u_conv2.acc\[40\]\[6\],10.445µm
m.u_conv3.u_weights._08953_,10.445µm
m.u_conv3.u_weights._11300_,10.445µm
m.u_conv1.u_loader._402_,10.44µm
m.u_conv2._0092_,10.44µm
m.u_conv2._0131_,10.44µm
m.u_conv2._0532_,10.44µm
m.u_conv2._0838_,10.44µm
m.u_conv2._1441_,10.44µm
m.u_conv2.acc\[44\]\[2\],10.44µm
m.u_conv3.u_weights._00140_,10.44µm
m.u_conv3.u_weights._00163_,10.44µm
m.u_conv3.u_weights._01246_,10.44µm
m.u_conv3.u_weights._01816_,10.44µm
m.u_conv3.u_weights._04017_,10.44µm
m.u_conv3.u_weights._05286_,10.44µm
m.u_conv3.u_weights._05858_,10.44µm
m.u_conv3.u_weights._07851_,10.44µm
m.u_conv3.u_weights._10947_,10.44µm
m.u_conv3.u_weights._11362_,10.44µm
m.u_conv3.u_weights._12191_,10.44µm
m.u_conv3.u_weights._12654_,10.44µm
m.u_conv3.u_weights._13412_,10.44µm
m.u_conv3.u_weights._13967_,10.44µm
m.u_conv3.u_weights._15430_,10.44µm
m.u_conv3.u_weights._15498_,10.44µm
m.u_conv3.u_weights._15756_,10.44µm
m.u_pool1._180_,10.44µm
m.u_tree._0364_,10.44µm
m.u_tree._1416_,10.44µm
m.u_conv2.acc\[3\]\[2\],10.435µm
m.u_conv2.u_loader._097_,10.435µm
m.u_conv3._229_,10.435µm
m.u_conv3.u_weights._02418_,10.435µm
m.u_conv3.u_weights._04283_,10.435µm
m.u_conv3.u_weights._04447_,10.435µm
m.u_conv3.u_weights._07319_,10.435µm
m.u_conv3.u_weights._07325_,10.435µm
m.u_conv3.u_weights._09875_,10.435µm
m.u_conv3.u_weights._11500_,10.435µm
m.u_conv3.u_weights._14172_,10.435µm
m.u_conv3.u_weights._15138_,10.435µm
m.u_conv3.u_weights._15194_,10.435µm
m.u_tree._0408_,10.435µm
net2870,10.435µm
m.u_conv3.u_weights._10222_,10.43µm
m.u_conv3.u_weights._14736_,10.43µm
m.u_conv2.acc\[51\]\[2\],10.425µm
m.u_conv3.u_weights._05206_,10.425µm
m.u_conv3.u_weights._05865_,10.425µm
m.u_conv2.u_loader._194_,10.42µm
m.u_conv3.u_weights._01436_,10.42µm
m.u_conv3.u_weights._01908_,10.42µm
m.u_conv3.u_weights._03088_,10.42µm
m.u_conv3.u_weights._10680_,10.42µm
m.u_conv3.u_weights._11030_,10.42µm
m.u_conv3.u_weights._11650_,10.42µm
m.u_conv3.u_weights._12127_,10.42µm
m.u_conv3.u_weights._12223_,10.42µm
m.u_conv3.u_weights._14269_,10.42µm
m.u_tree._1032_,10.42µm
m.u_conv3.u_weights._00633_,10.415µm
m.u_conv3.u_weights._00109_,10.41µm
m.u_conv3.u_weights._03660_,10.41µm
m.u_conv3.u_weights._03898_,10.41µm
m.u_conv3.u_weights._08850_,10.41µm
m.u_conv2.u_loader._387_,10.405µm
m.u_conv3.u_weights._01519_,10.405µm
m.u_conv3.u_weights._05002_,10.405µm
m.u_conv3.u_weights._06506_,10.405µm
m.u_conv3.u_weights._08360_,10.405µm
m.u_conv3.u_weights._10576_,10.405µm
m.u_conv3.u_weights._00850_,10.4µm
m.u_conv3.u_weights._01556_,10.4µm
m.u_conv3.u_weights._01665_,10.4µm
m.u_conv3.u_weights._02083_,10.4µm
m.u_conv3.u_weights._03800_,10.4µm
m.u_conv3.u_weights._04485_,10.4µm
m.u_conv3.u_weights._04686_,10.4µm
m.u_conv3.u_weights._05050_,10.4µm
m.u_conv3.u_weights._05380_,10.4µm
m.u_conv3.u_weights._06060_,10.4µm
m.u_conv3.u_weights._08444_,10.4µm
m.u_conv3.u_weights._08835_,10.4µm
m.u_conv3.u_weights._12158_,10.4µm
m.u_conv3.u_weights._12303_,10.4µm
m.u_conv3.u_weights._14975_,10.4µm
m.u_conv3.u_weights._15100_,10.4µm
m.u_conv3.u_weights._15686_,10.4µm
m.u_conv3.u_weights._15724_,10.4µm
m.u_tree._0068_,10.4µm
m.u_conv2._1512_,10.39µm
m.u_conv3.u_weights._00690_,10.39µm
m.u_conv3.u_weights._02806_,10.39µm
m.u_conv3.u_weights._05601_,10.39µm
m.u_conv3.u_weights._05962_,10.39µm
m.u_conv3.u_weights._10033_,10.39µm
m.u_conv3.u_weights._11761_,10.39µm
m.u_conv3.u_weights._12702_,10.39µm
m.u_conv3.u_weights._13941_,10.39µm
m.u_tree._1499_,10.39µm
m.u_conv2.u_weights._245_,10.385µm
m.u_conv3.u_weights._05134_,10.385µm
m.u_conv3.u_weights._15655_,10.385µm
m.u_conv3.u_weights._05869_,10.38µm
m.u_conv3.u_weights._10840_,10.38µm
m.u_conv3.u_weights._11690_,10.38µm
m.u_conv3.u_weights._12022_,10.38µm
m.u_conv3.u_weights._14145_,10.38µm
m.u_conv3.u_weights._15625_,10.38µm
m.u_pool2._141_,10.38µm
m.u_conv3.u_weights._01213_,10.375µm
m.u_conv3.u_weights._02480_,10.375µm
m.u_conv3.u_weights._03556_,10.375µm
m.u_conv3.u_weights._03655_,10.375µm
m.u_conv3.u_weights._04353_,10.375µm
m.u_conv3.u_weights._05509_,10.375µm
m.u_conv3.u_weights._09512_,10.375µm
m.u_conv3.u_weights._10872_,10.375µm
m.u_conv3.u_weights._01813_,10.37µm
m.u_conv3.u_weights._10638_,10.37µm
m.u_conv3.u_weights._00728_,10.365µm
m.u_conv3.u_weights._13476_,10.365µm
net1973,10.365µm
m.u_conv3.u_weights._03024_,10.355µm
m.u_conv3.u_weights._05419_,10.355µm
m.u_conv3.u_weights._12222_,10.355µm
m.u_conv1.u_loader._147_,10.35µm
m.u_conv3.u_weights._01279_,10.35µm
m.u_conv3.u_weights._01378_,10.35µm
m.u_conv3.u_weights._06344_,10.35µm
m.u_conv3.u_weights._11142_,10.35µm
m.u_conv3.u_weights._12492_,10.35µm
m.u_conv3.u_weights._12732_,10.35µm
m.u_conv3.u_weights._14716_,10.35µm
m.u_conv3.u_weights._15351_,10.35µm
m.u_tree._1113_,10.35µm
m.u_conv3.u_weights._01365_,10.345µm
m.u_conv3.u_weights._05836_,10.345µm
m.u_conv3.u_weights._07899_,10.345µm
m.u_conv3.u_weights._09672_,10.345µm
m.u_conv3.u_weights._10903_,10.345µm
m.u_conv3.u_weights._12137_,10.345µm
m.u_conv3.u_weights._12195_,10.345µm
m.u_conv3.u_weights._15668_,10.345µm
m.u_tree._1181_,10.345µm
m.u_conv1.u_loader._095_,10.34µm
m.u_conv1.u_weights._084_,10.34µm
m.u_conv3.u_weights._00019_,10.34µm
m.u_conv3.u_weights._00119_,10.34µm
m.u_conv3.u_weights._02203_,10.34µm
m.u_conv3.u_weights._02278_,10.34µm
m.u_conv3.u_weights._02794_,10.34µm
m.u_conv3.u_weights._02832_,10.34µm
m.u_conv3.u_weights._02943_,10.34µm
m.u_conv3.u_weights._03108_,10.34µm
m.u_conv3.u_weights._03139_,10.34µm
m.u_conv3.u_weights._04046_,10.34µm
m.u_conv3.u_weights._04155_,10.34µm
m.u_conv3.u_weights._04418_,10.34µm
m.u_conv3.u_weights._04483_,10.34µm
m.u_conv3.u_weights._04604_,10.34µm
m.u_conv3.u_weights._05298_,10.34µm
m.u_conv3.u_weights._06054_,10.34µm
m.u_conv3.u_weights._08061_,10.34µm
m.u_conv3.u_weights._10129_,10.34µm
m.u_conv3.u_weights._11547_,10.34µm
m.u_conv3.u_weights._12649_,10.34µm
m.u_conv3.u_weights._14175_,10.34µm
m.u_conv3.u_weights._14657_,10.34µm
m.u_conv3.u_weights._14910_,10.34µm
m.u_conv3.u_weights._15295_,10.34µm
net2032,10.34µm
net2294,10.34µm
net2615,10.34µm
net2622,10.34µm
net2680,10.34µm
net2879,10.34µm
net2895,10.34µm
net2926,10.34µm
net2937,10.34µm
net2996,10.34µm
m.u_conv3.u_weights._05905_,10.335µm
m._096_,10.33µm
m.u_conv1.u_weights._039_,10.33µm
m.u_conv2._0167_,10.33µm
m.u_conv2._1187_,10.33µm
m.u_conv2.acc\[40\]\[5\],10.33µm
m.u_conv2.acc\[7\]\[1\],10.33µm
m.u_conv2.u_loader._425_,10.33µm
m.u_conv3.u_weights._00286_,10.33µm
m.u_conv3.u_weights._00839_,10.33µm
m.u_conv3.u_weights._01253_,10.33µm
m.u_conv3.u_weights._02199_,10.33µm
m.u_conv3.u_weights._02219_,10.33µm
m.u_conv3.u_weights._02843_,10.33µm
m.u_conv3.u_weights._03054_,10.33µm
m.u_conv3.u_weights._03770_,10.33µm
m.u_conv3.u_weights._04113_,10.33µm
m.u_conv3.u_weights._06168_,10.33µm
m.u_conv3.u_weights._06233_,10.33µm
m.u_conv3.u_weights._06350_,10.33µm
m.u_conv3.u_weights._08170_,10.33µm
m.u_conv3.u_weights._08502_,10.33µm
m.u_conv3.u_weights._08724_,10.33µm
m.u_conv3.u_weights._10190_,10.33µm
m.u_conv3.u_weights._12394_,10.33µm
m.u_conv3.u_weights._12634_,10.33µm
m.u_conv3.u_weights._13678_,10.33µm
m.u_conv3.u_weights._14244_,10.33µm
m.u_conv3.u_weights._14754_,10.33µm
m.u_conv3.u_weights._14968_,10.33µm
m.u_conv3.u_weights._15017_,10.33µm
m.u_pool1.top_byte_reg\[0\],10.33µm
m.u_tree._1021_,10.33µm
m.u_tree._1161_,10.33µm
m.u_tree._1538_,10.33µm
m.u_conv2.acc\[53\]\[3\],10.325µm
m.u_conv3.u_weights._15269_,10.325µm
m.u_tree._0007_,10.325µm
m.u_tree._0656_,10.325µm
m.u_tree._0734_,10.325µm
m.u_conv3.u_weights._00688_,10.32µm
m.u_conv3.u_weights._00888_,10.32µm
m.u_conv3.u_weights._01117_,10.32µm
m.u_conv3.u_weights._02366_,10.32µm
m.u_conv3.u_weights._04237_,10.32µm
m.u_conv3.u_weights._04681_,10.32µm
m.u_conv3.u_weights._04942_,10.32µm
m.u_conv3.u_weights._06374_,10.32µm
m.u_conv3.u_weights._06974_,10.32µm
m.u_conv3.u_weights._08121_,10.32µm
m.u_conv3.u_weights._08554_,10.32µm
m.u_conv3.u_weights._10226_,10.32µm
m.u_conv3.u_weights._11677_,10.32µm
m.u_conv3.u_weights._12685_,10.32µm
m.u_conv3.u_weights._13022_,10.32µm
m.u_conv3.u_weights._13109_,10.32µm
m.u_conv3.u_weights._13118_,10.32µm
m.u_conv3.u_weights._13209_,10.32µm
m.u_conv3.u_weights._13228_,10.32µm
m.u_conv3.u_weights._13587_,10.32µm
m.u_conv3.u_weights._14458_,10.32µm
m.u_conv3.u_weights._14547_,10.32µm
m.u_pool2._133_,10.32µm
m.u_pool2._138_,10.32µm
m.u_conv1.u_weights._147_,10.315µm
m.u_conv3.u_weights._00808_,10.315µm
m.u_conv3.u_weights._01429_,10.315µm
m.u_conv3.u_weights._02086_,10.315µm
m.u_conv3.u_weights._02674_,10.315µm
m.u_conv3.u_weights._02749_,10.315µm
m.u_conv3.u_weights._03803_,10.315µm
m.u_conv3.u_weights._04564_,10.315µm
m.u_conv3.u_weights._05538_,10.315µm
m.u_conv3.u_weights._06570_,10.315µm
m.u_conv3.u_weights._10085_,10.315µm
m.u_conv3.u_weights._11479_,10.315µm
m.u_conv3.u_weights._11580_,10.315µm
m.u_conv3.u_weights._15191_,10.315µm
m.u_tree._0398_,10.315µm
m.u_tree._0449_,10.315µm
m.u_conv3.u_weights._09496_,10.31µm
m.u_conv3.u_weights._12116_,10.31µm
m.u_conv3.u_weights._01199_,10.305µm
m.u_conv3.u_weights._03335_,10.305µm
m.u_conv3.u_weights._04518_,10.305µm
m.u_conv3.u_weights._07564_,10.305µm
m.u_conv3.u_weights._10818_,10.305µm
m.u_conv3.u_weights._13379_,10.305µm
m.u_conv3.u_weights._14980_,10.305µm
m.u_pool2._046_,10.305µm
m.u_conv3.u_weights._12883_,10.3µm
m.u_conv3.u_weights._01473_,10.295µm
m.u_conv3.u_weights._03458_,10.295µm
m.u_conv3.u_weights._06890_,10.295µm
m.u_conv3.u_weights._09008_,10.295µm
m.u_conv3.u_weights._12788_,10.295µm
m.u_conv1.u_loader._021_,10.29µm
m.u_conv3.u_weights._09884_,10.29µm
m.u_pool2._120_,10.29µm
m.u_tree._0973_,10.29µm
m.u_conv3.u_weights._12364_,10.285µm
net2687,10.285µm
m.u_conv3.u_weights._00999_,10.28µm
m.u_conv3.u_weights._03023_,10.28µm
m.u_conv3.u_weights._08244_,10.28µm
m.u_conv3.u_weights._10716_,10.28µm
m.u_conv3.u_weights._10761_,10.28µm
m.u_conv3.u_weights._13437_,10.28µm
m.u_conv3.u_weights._15302_,10.28µm
m.u_tree._1247_,10.28µm
net2607,10.28µm
m.u_conv2.u_weights._215_,10.275µm
m.u_conv3.u_weights._02286_,10.275µm
m.u_conv2._1144_,10.27µm
m.u_conv2.u_loader._371_,10.27µm
m.u_conv3.u_weights._01101_,10.27µm
m.u_conv3.u_weights._01493_,10.27µm
m.u_conv3.u_weights._02188_,10.27µm
m.u_conv3.u_weights._04331_,10.27µm
m.u_conv3.u_weights._05044_,10.27µm
m.u_conv3.u_weights._06371_,10.27µm
m.u_conv3.u_weights._06654_,10.27µm
m.u_conv3.u_weights._08274_,10.27µm
m.u_conv3.u_weights._08695_,10.27µm
m.u_conv3.u_weights._09449_,10.27µm
m.u_conv3.u_weights._09719_,10.27µm
m.u_conv3.u_weights._13087_,10.27µm
m.u_conv3.u_weights._14941_,10.27µm
m.u_conv2.u_loader._239_,10.265µm
m.u_conv2._0589_,10.26µm
m.u_conv3.u_weights._02021_,10.26µm
m.u_conv3.u_weights._08657_,10.26µm
m.u_conv3.u_weights._09060_,10.26µm
m.u_conv3.u_weights._09708_,10.26µm
m.u_conv3.u_weights._13021_,10.26µm
m.u_conv3.u_weights._14006_,10.26µm
m.u_conv3.u_weights._14181_,10.26µm
m.u_conv3.u_weights._15700_,10.26µm
m.u_conv3.u_weights._03427_,10.255µm
m.u_conv3.u_weights._04460_,10.255µm
m.u_conv3.u_weights._05947_,10.255µm
m.u_conv3.u_weights._06220_,10.255µm
m.u_conv3.u_weights._06838_,10.255µm
m.u_conv3.u_weights._09068_,10.255µm
m.u_conv3.u_weights._13246_,10.255µm
m.u_conv2._1358_,10.25µm
m.u_conv3.u_weights._05288_,10.245µm
m.u_conv3.u_weights._09930_,10.24µm
m.u_pool2._050_,10.235µm
m.u_conv2.u_loader._067_,10.23µm
m.u_conv3.u_weights._00950_,10.23µm
m.u_conv3.u_weights._07931_,10.23µm
m.u_conv3.u_weights._12582_,10.23µm
m.u_conv3.u_weights._13721_,10.23µm
m.u_conv3.u_weights._15312_,10.23µm
net2310,10.23µm
m.u_conv2._0906_,10.225µm
m.u_conv3.u_weights._01153_,10.225µm
m.u_conv3.u_weights._01605_,10.225µm
m.u_conv3.u_weights._02300_,10.225µm
m.u_conv3.u_weights._06776_,10.225µm
m.u_conv3.u_weights._07327_,10.225µm
m.u_conv3.u_weights._12005_,10.225µm
m.u_conv3.u_weights._12420_,10.225µm
m.u_conv3._178_,10.22µm
m.u_conv3.u_weights._00268_,10.22µm
m.u_conv3.u_weights._00428_,10.22µm
m.u_conv3.u_weights._00434_,10.22µm
m.u_conv3.u_weights._00460_,10.22µm
m.u_conv3.u_weights._01212_,10.22µm
m.u_conv3.u_weights._01254_,10.22µm
m.u_conv3.u_weights._04206_,10.22µm
m.u_conv3.u_weights._04970_,10.22µm
m.u_conv3.u_weights._05076_,10.22µm
m.u_conv3.u_weights._05296_,10.22µm
m.u_conv3.u_weights._05661_,10.22µm
m.u_conv3.u_weights._05664_,10.22µm
m.u_conv3.u_weights._05735_,10.22µm
m.u_conv3.u_weights._05906_,10.22µm
m.u_conv3.u_weights._07554_,10.22µm
m.u_conv3.u_weights._07806_,10.22µm
m.u_conv3.u_weights._09235_,10.22µm
m.u_conv3.u_weights._09531_,10.22µm
m.u_conv3.u_weights._09549_,10.22µm
m.u_conv3.u_weights._09984_,10.22µm
m.u_conv3.u_weights._12803_,10.22µm
m.u_conv3.u_weights._13600_,10.22µm
m.u_conv3.u_weights._14693_,10.22µm
m.u_conv3.u_weights._14837_,10.22µm
m.u_tree._0563_,10.22µm
m.u_tree._1322_,10.22µm
m.u_conv2.u_loader._102_,10.215µm
m.u_conv3.u_weights._14078_,10.215µm
m.u_conv2._0314_,10.21µm
m.u_conv2.u_loader._025_,10.21µm
m.u_conv3.u_weights._00505_,10.21µm
m.u_conv3.u_weights._01944_,10.21µm
m.u_conv3.u_weights._02129_,10.21µm
m.u_conv3.u_weights._02159_,10.21µm
m.u_conv3.u_weights._02704_,10.21µm
m.u_conv3.u_weights._02972_,10.21µm
m.u_conv3.u_weights._03006_,10.21µm
m.u_conv3.u_weights._03022_,10.21µm
m.u_conv3.u_weights._03187_,10.21µm
m.u_conv3.u_weights._04186_,10.21µm
m.u_conv3.u_weights._04706_,10.21µm
m.u_conv3.u_weights._05648_,10.21µm
m.u_conv3.u_weights._06113_,10.21µm
m.u_conv3.u_weights._06326_,10.21µm
m.u_conv3.u_weights._06339_,10.21µm
m.u_conv3.u_weights._06593_,10.21µm
m.u_conv3.u_weights._07237_,10.21µm
m.u_conv3.u_weights._07405_,10.21µm
m.u_conv3.u_weights._07881_,10.21µm
m.u_conv3.u_weights._08917_,10.21µm
m.u_conv3.u_weights._10105_,10.21µm
m.u_conv3.u_weights._10205_,10.21µm
m.u_conv3.u_weights._10221_,10.21µm
m.u_conv3.u_weights._10281_,10.21µm
m.u_conv3.u_weights._10315_,10.21µm
m.u_conv3.u_weights._10408_,10.21µm
m.u_conv3.u_weights._10848_,10.21µm
m.u_conv3.u_weights._11790_,10.21µm
m.u_conv3.u_weights._12904_,10.21µm
m.u_conv3.u_weights._13730_,10.21µm
m.u_conv3.u_weights._13894_,10.21µm
m.u_conv3.u_weights._13912_,10.21µm
m.u_conv3.u_weights._14110_,10.21µm
m.u_conv3.u_weights._14569_,10.21µm
m.u_conv3.u_weights._14710_,10.21µm
m.u_conv3.u_weights._14804_,10.21µm
m.u_conv3.u_weights._15630_,10.21µm
m.u_tree._0809_,10.21µm
m.u_tree._1554_,10.21µm
m.u_conv2.u_weights._341_,10.205µm
m.u_conv3.u_weights._02173_,10.205µm
m.u_conv2._0785_,10.2µm
m.u_conv2._0855_,10.2µm
m.u_conv3.u_weights._01587_,10.2µm
m.u_conv3.u_weights._03701_,10.2µm
m.u_conv3.u_weights._04334_,10.2µm
m.u_conv3.u_weights._07166_,10.2µm
m.u_conv3.u_weights._10758_,10.2µm
m.u_tree._1458_,10.2µm
net2262,10.2µm
m.u_conv3.u_weights._04028_,10.195µm
m.u_conv3.u_weights._14059_,10.195µm
m.u_conv3.u_weights._04401_,10.185µm
m.u_conv3.u_weights._13771_,10.185µm
m.u_conv1.u_loader._389_,10.17µm
m.u_conv3.u_weights._05809_,10.17µm
m.u_conv3.u_weights._11728_,10.17µm
m.u_conv3.u_weights._03291_,10.165µm
m.u_conv3.u_weights._07433_,10.165µm
m.u_conv3.u_weights._10243_,10.165µm
m.u_conv3.u_weights._10743_,10.165µm
m.u_conv3.u_weights._02052_,10.16µm
m.u_conv3.u_weights._05461_,10.16µm
m.u_conv3.u_weights._06123_,10.16µm
m.u_conv3.u_weights._08314_,10.16µm
m.u_conv3.u_weights._10595_,10.16µm
m.u_conv3.u_weights._11697_,10.16µm
m.u_conv3.u_weights._12671_,10.16µm
m.u_conv3.u_weights._13212_,10.16µm
m.u_conv3.u_weights._14507_,10.16µm
m.u_tree._0856_,10.16µm
m.u_tree._1202_,10.16µm
m.u_conv3.u_weights._05985_,10.155µm
m.u_conv3.u_weights._11198_,10.155µm
m.u_conv2.acc\[34\]\[5\],10.15µm
m.u_conv3.u_weights._00987_,10.15µm
m.u_conv3.u_weights._01131_,10.15µm
m.u_conv3.u_weights._01411_,10.15µm
m.u_conv3.u_weights._08913_,10.15µm
m.u_conv3.u_weights._09880_,10.15µm
m.u_conv3.u_weights._10409_,10.15µm
m.u_conv3.u_weights._10852_,10.15µm
m.u_conv3.u_weights._12818_,10.15µm
m.u_tree._0495_,10.15µm
m.u_conv1._178_,10.14µm
m.u_conv2._1012_,10.14µm
m.u_conv2._1131_,10.14µm
m.u_conv2._1251_,10.14µm
m.u_conv2._1304_,10.14µm
m.u_conv2._1402_,10.14µm
m.u_conv3.u_weights._01891_,10.14µm
m.u_conv3.u_weights._02977_,10.14µm
m.u_conv3.u_weights._03633_,10.14µm
m.u_conv3.u_weights._04029_,10.14µm
m.u_conv3.u_weights._05434_,10.14µm
m.u_conv3.u_weights._06276_,10.14µm
m.u_conv3.u_weights._06424_,10.14µm
m.u_conv3.u_weights._07175_,10.14µm
m.u_conv3.u_weights._07451_,10.14µm
m.u_conv3.u_weights._07534_,10.14µm
m.u_conv3.u_weights._07759_,10.14µm
m.u_conv3.u_weights._10148_,10.14µm
m.u_conv3.u_weights._12923_,10.14µm
m.u_conv3.u_weights._14010_,10.14µm
m.u_pool1._067_,10.14µm
m.u_tree._0337_,10.14µm
net2662,10.14µm
m.u_conv3.u_weights._07456_,10.135µm
m.u_conv3.u_weights._09929_,10.125µm
m.u_conv3.u_weights._13520_,10.125µm
m.u_tree._0771_,10.125µm
m.u_conv3.u_weights._05295_,10.12µm
m.u_conv3.u_weights._12035_,10.12µm
m.u_conv3.u_weights._04625_,10.115µm
m.u_conv3.u_weights._11820_,10.115µm
m.u_conv3.u_weights._01795_,10.11µm
m.u_conv3.u_weights._02312_,10.11µm
m.u_conv3.u_weights._04669_,10.11µm
m.u_conv3.u_weights._05266_,10.11µm
m.u_conv3.u_weights._05702_,10.11µm
m.u_conv3.u_weights._06751_,10.11µm
m.u_conv3.u_weights._07344_,10.11µm
m.u_conv3.u_weights._08036_,10.11µm
m.u_conv3.u_weights._08886_,10.11µm
m.u_conv3.u_weights._10987_,10.11µm
m.u_conv3.u_weights._11567_,10.11µm
m.u_conv2._0521_,10.105µm
m.u_conv3.u_weights._00853_,10.105µm
m.u_conv3.u_weights._01420_,10.105µm
m.u_conv3.u_weights._02157_,10.105µm
m.u_conv3.u_weights._03249_,10.105µm
m.u_conv3.u_weights._07349_,10.105µm
m.u_conv3.u_weights._07375_,10.105µm
m.u_conv3.u_weights._07907_,10.105µm
m.u_conv3.u_weights._10082_,10.105µm
m.u_conv3.u_weights._10110_,10.105µm
m.u_conv3.u_weights._11245_,10.105µm
m.u_conv3.u_weights._11410_,10.105µm
m.u_conv3.u_weights._11759_,10.105µm
m.u_conv3.u_weights._12055_,10.105µm
m.u_tree._0830_,10.105µm
m.u_conv3.u_weights._02580_,10.1µm
m.u_conv3.u_weights._03076_,10.1µm
m.u_conv3.u_weights._05518_,10.1µm
m.u_conv3.u_weights._06745_,10.1µm
m.u_conv3.u_weights._07918_,10.1µm
m.u_conv3.u_weights._08714_,10.1µm
m.u_conv3.u_weights._14613_,10.1µm
m.u_conv2.loader_buffer\[10\],10.09µm
m.u_conv2.u_weights._237_,10.09µm
m.u_conv3.u_weights._01149_,10.09µm
m.u_conv3.u_weights._05237_,10.09µm
m.u_conv3.u_weights._05677_,10.09µm
m.u_conv3.u_weights._06267_,10.09µm
m.u_conv3.u_weights._09231_,10.09µm
m.u_conv3.u_weights._10164_,10.09µm
m.u_conv3.u_weights._11640_,10.09µm
m.u_conv3.u_weights._12113_,10.09µm
m.u_conv3.u_weights._12799_,10.09µm
m.u_conv3.u_weights._13177_,10.09µm
m.u_conv3.u_weights._14964_,10.09µm
m.u_conv3.u_weights._15473_,10.09µm
m.u_pool1._148_,10.09µm
m.u_tree._1216_,10.09µm
net2426,10.09µm
m.sram_req_conv1\[1\],10.08µm
m.u_conv1.u_loader._315_,10.08µm
m.u_conv2._0337_,10.08µm
m.u_conv2._0601_,10.08µm
m.u_conv2._0970_,10.08µm
m.u_conv2.u_weights._089_,10.08µm
m.u_conv2.u_weights._153_,10.08µm
m.u_conv3.u_weights._00643_,10.08µm
m.u_conv3.u_weights._01477_,10.08µm
m.u_conv3.u_weights._01798_,10.08µm
m.u_conv3.u_weights._02671_,10.08µm
m.u_conv3.u_weights._02924_,10.08µm
m.u_conv3.u_weights._03343_,10.08µm
m.u_conv3.u_weights._04716_,10.08µm
