Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_185_1654,VSS,Metal1,798.4860,706.3990,0.000000
FILLER_185_1647,VSS,Metal1,795.1260,706.3990,0.000000
FILLER_185_1640,VSS,Metal1,791.7660,706.3990,0.000000
FILLER_185_1633,VSS,Metal1,788.4060,706.3990,0.000000
FILLER_185_1626,VSS,Metal1,785.0460,706.3990,0.000000
FILLER_185_1619,VSS,Metal1,781.6860,706.3990,0.000000
FILLER_185_1612,VSS,Metal1,778.3260,706.3990,0.000000
FILLER_185_1605,VSS,Metal1,774.9660,706.3990,0.000000
FILLER_185_1598,VSS,Metal1,771.6060,706.3990,0.000000
FILLER_185_1591,VSS,Metal1,768.2460,706.3990,0.000000
FILLER_185_1584,VSS,Metal1,764.8860,706.3990,0.000000
FILLER_185_1577,VSS,Metal1,761.5260,706.3990,0.000000
FILLER_185_1570,VSS,Metal1,758.1660,706.3990,0.000000
FILLER_185_1563,VSS,Metal1,754.8060,706.3990,0.000000
FILLER_185_1556,VSS,Metal1,751.4460,706.3990,0.000000
FILLER_185_1549,VSS,Metal1,748.0860,706.3990,0.000000
FILLER_185_1542,VSS,Metal1,744.7260,706.3990,0.000000
FILLER_185_1535,VSS,Metal1,741.3660,706.3990,0.000000
FILLER_185_1528,VSS,Metal1,738.0060,706.3990,0.000000
FILLER_185_1521,VSS,Metal1,734.6460,706.3990,0.000000
FILLER_185_1514,VSS,Metal1,731.2860,706.3990,0.000000
FILLER_185_1507,VSS,Metal1,727.9260,706.3990,0.000000
FILLER_185_1500,VSS,Metal1,724.5660,706.3990,0.000000
FILLER_185_1493,VSS,Metal1,721.2060,706.3990,0.000000
FILLER_185_1486,VSS,Metal1,717.8460,706.3990,0.000000
FILLER_185_1479,VSS,Metal1,714.4860,706.3990,0.000000
FILLER_185_1472,VSS,Metal1,711.1260,706.3990,0.000000
FILLER_185_1465,VSS,Metal1,707.7660,706.3990,0.000000
FILLER_185_1458,VSS,Metal1,704.4060,706.3990,0.000000
FILLER_185_1451,VSS,Metal1,701.0460,706.3990,0.000000
FILLER_185_1444,VSS,Metal1,697.6860,706.3990,0.000000
FILLER_185_1437,VSS,Metal1,694.3260,706.3990,0.000000
